registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
ASF07J,459900,55740,2023,Recharge T6 Core Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÄVEDALEN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/asf07j/,2026-01-13
AWW173,479000,73670,2023,Recharge T6 Ultimate Bright - Drag / 360 Kamera,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/aww173/,2026-01-13
BER00W,489900,73220,2023,Recharge T6 Plus Dark,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ber00w/,2026-01-13
NUZ12K,622900,0,2026,Ny T6 Plus Bright Nordic Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nuz12k/,2026-01-13
WMT10R,499900,78590,2023,"Recharge T8 Plus Dark, Taklucka, on call, Navigation",Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wmt10r/,2026-01-13
DXT13Y,624900,6840,2026,"T6 Plus Dark Nordic Edition, Navigation, on call",Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dxt13y/,2026-01-13
UHT99P,369900,105380,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/uht99p/,2026-01-13
KJS80Z,626900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÖDERTÄLJE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/kjs80z/,2026-01-13
XZR02S,622900,0,2026,Ny T6 Plus Bright Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KÖPING,https://www.bilia.se/bilar/sok-bil/volvo/xc60/xzr02s/,2026-01-13
BJA12K,349900,177490,2023,Recharge T6 Core Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/bja12k/,2026-01-13
RAD89W,344500,148370,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KÖPING,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rad89w/,2026-01-13
JEU292,289900,146580,2018,T5 II AWD Inscription,Svart,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jeu292/,2026-01-13
GRP66X,419500,65590,2024,B5 AWD Bensin Core,Silver,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/grp66x/,2026-01-13
YWA93M,666900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ywa93m/,2026-01-13
RAE76G,509900,43000,2023,Recharge T6 Plus Dark,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rae76g/,2026-01-13
ODL14P,344900,131500,2021,Recharge T6 Inscription Expression/Panorama/AWD/Blis,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,BILIA SALTSJÖ-BOO BEGAGNADE BILAR,https://www.bilia.se/bilar/sok-bil/volvo/xc60/odl14p/,2026-01-13
SWE96Y,419500,102180,2022,B5 AWD Bensin Inscription,Svart,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/swe96y/,2026-01-13
FOU151,209900,149250,2016,D4 AWD aut Ocean Race BE 190hk Drag P-värm Backkamera BLIS,Svart,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/fou151/,2026-01-13
RCE22W,618900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TRELLEBORG,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rce22w/,2026-01-13
UAH69X,449500,82330,2023,Recharge T6 Plus Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/uah69x/,2026-01-13
TMO938,359900,108890,2022,Recharge T6 Inscription Expression,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/tmo938/,2026-01-13
