Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
LWL92C,284900,288637,1.3,7041,2020,161250,250.0,T5,Petrol,AWD,T5 AWD Momentum Advanced SE II DRAG KAMERA
UTX89F,549500,556542,1.3,10195,2023,46380,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Plus Dark | Dragkrok | 360 Kamera |
DDP02K,389800,394644,1.2,15176,2020,91010,391.0,T8,Plugin Hybrid,FWD,T8 TE Inscription /Dragkrok/
JEU292,289900,293491,1.2,-655,2018,146580,250.0,T5,Petrol,AWD,T5 II AWD Inscription
NJT33C,642600,650214,1.2,11708,2026,30,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
YHX935,199900,202004,1.0,-3928,2017,195020,190.0,D4,Diesel,AWD,Summum D4 Classic
XLG85K,643600,650160,1.0,10644,2026,80,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
JCB69Y,640500,646978,1.0,10059,2026,3000,349.0,T6,Plugin Hybrid,AWD,T6 Plus Black Nordic Edition Demobil/Drag/HUD/Harmankardon
YGP04Z,499900,504906,1.0,10441,2022,70370,391.0,T8,Plugin Hybrid,AWD,Recharge T8 Inscription
EWA81U,644900,650287,0.8,9457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
HXW02B,644900,650287,0.8,9457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
YOB501,259900,262056,0.8,-11919,2019,147160,250.0,T5,Petrol,FWD,T5 Momentum Edition
YJB21K,729000,734983,0.8,-7895,2026,12220,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark -B&W/Luftfjädring!
WBJ69K,619000,623656,0.7,2866,2025,36440,455.0,T8,Plugin Hybrid,AWD,T8 Plus Dark B&O Luftchassi 21' vhjul
TDJ04P,499600,503194,0.7,3096,2024,51930,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright
UDU63B,573800,577770,0.7,10006,2025,10,349.0,T6,Plugin Hybrid,AWD,T6 Core Edition
AKX64X,639800,643486,0.6,969,2025,20310,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Bright Drag H/K Pano 360Kamera SELEKT
SRA10Y,429900,432363,0.6,1980,2023,90890,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ZDT235,259900,261388,0.6,4912,2018,205550,190.0,D4,Diesel,AWD,D4 AWD Inscription IB 19' | Drag |
CBO983,479000,481671,0.6,10260,2022,92200,455.0,T8,Plugin Hybrid,AWD,Recharge T8 II R-Design
SHL04J,639800,642909,0.5,6156,2026,6680,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition DEMOBIL
DLL16A,309800,311301,0.5,1037,2019,118000,250.0,T5,Petrol,AWD,T5 AWD Momentum Advanced SE DRAG
YML220,299900,301308,0.5,-3781,2019,92120,250.0,T5,Petrol,FWD,T5 Momentum Edition DRAGKROK
JBN47D,647600,650225,0.4,6720,2026,20,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
WKD37K,645700,648214,0.4,6282,2026,1870,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition Demobil/HUD/Harmankardon/360 kamera
DDG431,189900,190626,0.4,9627,2014,141300,181.0,D4,Diesel,AWD,D4 AWD Momentum BE PRO II Drag Pano Nav Värmare
BBK32K,329900,331091,0.4,554,2021,109470,197.0,B4,Mild Hybrid,FWD,B4 Diesel Momentum Advanced SE
KUB81D,469500,471114,0.3,1055,2023,53260,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright | Kamera | Drag | Ljuspaket |
BFU04D,459500,460504,0.2,-7136,2022,48480,341.0,T6,Plugin Hybrid,AWD,"Recharge T6 Inscription, Motorstolspaket, Loungepaket, Parkeringskamera 360, 20'"
AHC769,159900,160111,0.1,-6218,2014,206350,181.0,D4,Diesel,AWD,D4 AWD Summum BE VOC / Drag / Keyless / Skinn
LMF42A,369900,370348,0.1,-5103,2022,99350,341.0,T6,Plugin Hybrid,FWD,Recharge Inscription Expression T6
PHR007,469000,469494,0.1,-2837,2023,55940,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Bright
BDY03E,439000,439451,0.1,14850,2022,129810,455.0,T8,Plugin Hybrid,AWD,Recharge T8 II R-Design
LLX93A,279500,279500,0.0,0,2020,155110,190.0,T4,Petrol,FWD,T4 Momentum Edition
PNO192,463400,462867,-0.1,30,2023,807740,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Ultimate Dark
CHF636,314900,314500,-0.1,-774,2018,136440,190.0,D4,Diesel,AWD,D4 AWD Inscription LÄDER NAV KAMERA
RCC72G,640500,639534,-0.2,1725,2026,9690,349.0,T6,Plugin Hybrid,AWD,T6 Plus Black Nordic Edition Demobil / Värmare / Rattvärme/ Harman
FWA66B,639900,638639,-0.2,-3911,2025,24320,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark B/W HUD Luftfj 360Kamera
RWR03D,634000,631083,-0.5,-5250,2025,30480,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Black Edition
OTW02H,569100,566471,-0.5,406,2025,11470,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
MRA73E,559900,557151,-0.5,1573,2025,19300,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
OOD171,169900,169030,-0.5,-3408,2014,185900,163.0,D4,Diesel,AWD,D4 AWD aut Summum BE PRO 163hk Panorama Navi Drag BLIS
OFB50K,653900,650287,-0.6,457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
KKJ01X,529900,526961,-0.6,-1699,2024,29380,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Plus Bright Edition.
MCW85K,509800,506915,-0.6,6503,2023,87950,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark
ZBM688,209900,208646,-0.6,3444,2018,274510,250.0,T5,Petrol,AWD,T5 II AWD Inscription
HZP00F,309900,308014,-0.6,8938,2019,171570,303.0,T8,Plugin Hybrid,FWD,T8 TE Inscription B&O
